mod	defName	label	steel_cost	patch	reasoning	signals
Alpha Animals	AA_HexagelCoreReactor	hexagel core reactor	steel:100	EM_Titanium 45%	high-strength frame; radiation shielding	Breakdownable,Flickable,Glower,HeatPusher,Power,Refuelable|cat:Power
Alpha Animals	VEF_AdvancedAnimalImplantsTable	advanced animal prosthetics table	steel:200	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	AffectedByFacilities,Breakdownable,Flickable,Power|cat:Production
Alpha Biomes	AB_BoneDistillery	bone drill	steel:150	EM_Titanium 45%	high-strength frame	Breakdownable,Flickable,Power,Spawner|cat:Furniture
Alpha Biomes	AB_CoreSampleDrill	core sample drill	steel:250	EM_Titanium 45%	high-strength frame	CoreSampleDrill,Flickable,Forbiddable,Power|cat:AB_AlphaBiomesBuildings
Alpha Biomes	AB_MagmaThermalPlant	magma-thermal generator	steel:340	EM_Copper 12%	heat-exchange / cooling	AmbientSound,Breakdownable,Power,Stunnable|cat:Power
Alpha Biomes	AB_MagmaThermalPlant_Advanced	advanced magma-thermal generator	steel:300	EM_Copper 12%	heat-exchange / cooling	AmbientSound,Breakdownable,Power,Stunnable|cat:Power
Alpha Biomes	AB_PropaneHeater	propane heater	steel:30	EM_Copper 12%	heat-exchange / cooling	Breakdownable,Flickable,Glower,Refuelable,TempControl|cat:AB_AlphaBiomesBuildings
Alpha Biomes	AB_PropaneSmelter	propane smelter	steel:170	EM_Titanium 45%	high-strength frame	Breakdownable,Glower,Refuelable|cat:Production
Alpha Biomes	AB_PropaneStove	propane stove	steel:60	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	HeatPusher,Refuelable|cat:AB_AlphaBiomesBuildings
Alpha Biomes	AB_PropaneTableMachining	propane machining table	steel:150	EM_Titanium 45%	high-strength frame	AffectedByFacilities,Breakdownable,Glower,Refuelable|cat:Production
Alpha Biomes	AB_PropaneTap	propane tap	steel:60	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	ConvertResourceToThing|cat:Furniture
Alpha Biomes	AB_SlimeCompressor	slime compressor	steel:50	EM_Titanium 45%	high-strength frame	AdvancedResourceProcessor,Flickable,Power|cat:Production
Alpha Biomes	AB_Turret_Propane	propane turret	steel:70	EM_Titanium 45%	high-strength frame	Breakdownable,Explosive,Flickable,Forbiddable,Power,Refuelable|cat:Security
Centralized Climate Control (Continued)	AirThermal	airThermal	steel:200	EM_Copper 12%	heat-exchange / cooling; computing / control electronics	AirFlow,Breakdownable,Flickable,Power,TempControl|cat:CentralClimateControl
Centralized Climate Control (Continued)	LargeAirThermal	largeAirThermal	steel:600	EM_Copper 12%	heat-exchange / cooling; computing / control electronics	AirFlow,Breakdownable,Flickable,Power,TempControl|cat:CentralClimateControl
Colony Manager Fork	FM_ManagerStation	manager desk	steel:50	EM_Silicon 12%	computing / control electronics	Breakdownable,Flickable,Forbiddable,ManagerStation,Power|cat:Production
Combat Extended Armory	CE_Turret_12PounderBombard	12-pounder bombard	steel:200	EM_Titanium 45%	high-strength frame	|cat:Security
Combat Extended Armory	CE_Turret_GatlingGun	Gatling gun	steel:90	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	CE_Turret_M1919Browning	M1919 machine gun	steel:160	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	CE_Turret_M2HB	M2 Browning machine gun	steel:210	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	CE_Turret_MkNineteenGL	Mk 19 grenade launcher	steel:130	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	CE_Turret_OrganGun	organ gun	steel:150	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	CE_Turret_PKM	PKM machine gun	steel:120	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	CE_Turret_PortableMortar	60mm portable mortar	steel:110	EM_Titanium 45%	high-strength frame	|cat:Security
Combat Extended Armory	CE_Turret_SPGNine	SPG-9 recoilless gun	steel:250	EM_Titanium 45%	high-strength frame	|cat:Security
Combat Extended Armory	CE_Turret_ShotgunTurret	shotgun auto-turret	steel:100	EM_Titanium 45%, EM_Silicon 10%(added)	high-strength frame	Power
Combat Extended Armory	CE_Turret_TwelvePounder	12-pounder cannon	steel:200	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	CE_Turret_Vickers	Vickers machine gun	steel:170	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	Turret_12PounderBombard	12-pounder bombard	steel:200	EM_Titanium 45%	high-strength frame	|cat:Security
Combat Extended Armory	Turret_GatlingGun	Gatling gun	steel:90	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	Turret_M1919Browning	M1919 machine gun	steel:160	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	Turret_M2HB	M2 Browning machine gun	steel:210	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	Turret_MkNineteenGL	Mk 19 grenade launcher	steel:130	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	Turret_OrganGun	organ gun	steel:150	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	Turret_PKM	PKM machine gun	steel:120	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	Turret_PortableMortar	60mm portable mortar	steel:110	EM_Titanium 45%	high-strength frame	|cat:Security
Combat Extended Armory	Turret_SPGNine	SPG-9 recoilless gun	steel:250	EM_Titanium 45%	high-strength frame	|cat:Security
Combat Extended Armory	Turret_ShotgunTurret	shotgun auto-turret	steel:100	EM_Titanium 45%, EM_Silicon 10%(added)	high-strength frame	Power
Combat Extended Armory	Turret_TwelvePounder	12-pounder cannon	steel:200	EM_Titanium 45%	high-strength frame	
Combat Extended Armory	Turret_Vickers	Vickers machine gun	steel:170	EM_Titanium 45%	high-strength frame	
Combat Extended Guns	CE_Artillery_Howitzer	105mm howitzer	steel:400	EM_Titanium 45%	high-strength frame	|cat:Security
Dubs Bad Hygiene	AirConOutdoorUnit	Air-Con Outdoor Unit	steel:90	EM_Copper 12%	hygienic/corrosion-resistant body; heat-exchange / cooling	AirconBaseUnit,Breakdownable,Flickable,Pipe,Power|cat:Hygiene
Dubs Bad Hygiene	AirconIndoorUnit	air-con indoor unit	steel:25	EM_Copper 12%	heat-exchange / cooling	CompAirconUnit,Power,TempControl
Dubs Bad Hygiene	BiosolidsComposter	Biosolids Composter	steel:45	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	Composter,Forbiddable,TemperatureRuinable|cat:Hygiene
Dubs Bad Hygiene	CryogenicExtractionNode	cryogenic extraction node	steel:100	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	Breakdownable,Flickable,HeatPusher,IceWell,Pipe,Power
Dubs Bad Hygiene	DBHSaunaHeaterElec	Electric Sauna Heater	steel:20	EM_Copper 12%	heat-exchange / cooling	Flickable,Forbiddable,Glower,Power,SaunaHeater|cat:Joy
Dubs Bad Hygiene	FireSprinkler	Fire Sprinkler	steel:15	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	Pipe,Sprinkler,Usable|cat:Hygiene
Dubs Bad Hygiene	FreezerUnit	Walk-in freezer unit	steel:30	EM_StainlessSteel 45%, EM_Copper 12%	hygienic/corrosion-resistant body; heat-exchange / cooling	CompAirconUnit,Power,Thermostat
Dubs Bad Hygiene	GeothermHeater	Geothermal heater	steel:240	EM_Copper 12%	heat-exchange / cooling	Breakdownable,CompBoiler,Pipe|cat:Temperature
Dubs Bad Hygiene	HotWaterTank	hot water tank	steel:75	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	Flickable,HeatStore,Pipe|cat:Hygiene
Dubs Bad Hygiene	IrrigationSprinkler	Irrigation Sprinkler	steel:15	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	Pipe,Sprinkler|cat:Hygiene
Dubs Bad Hygiene	KitchenSink	Kitchen Sink	steel:15	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	|cat:Hygiene
Dubs Bad Hygiene	RadiatorLarge	large radiator	steel:15	EM_Copper 12%	heat-exchange / cooling	Radiator
Dubs Bad Hygiene	RadiatorStuffed	radiator	steel:15	EM_Copper 12%	heat-exchange / cooling	Radiator
Dubs Bad Hygiene	RadiatorTowelRail	Towel Rail	steel:15	EM_Copper 12%	heat-exchange / cooling	Radiator
Dubs Bad Hygiene	SolarHeater	solar heater	steel:75	EM_Copper 12%	heat-exchange / cooling	CompBoiler,Pipe|cat:Temperature
Dubs Bad Hygiene	WashingMachine	Washing Machine	steel:100	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	Breakdownable,Flickable,Forbiddable,Pipe,Power|cat:Hygiene
Dubs Bad Hygiene	plumbingValve	plumbing valve	steel:15	EM_StainlessSteel 45%	hygienic/corrosion-resistant body	Flickable,Pipe|cat:Hygiene
Dubs Rimatomics	CoolingRadiator	Radiator	steel:350	EM_Copper 12%	heat-exchange / cooling	Flickable,Pipe,Power,Upgradable
Dubs Rimatomics	DU_Blastdoor	DU Blast door	steel:40	EM_Titanium 45%	high-strength frame; radiation shielding	Breakdownable,Power|cat:Rimatomics
Dubs Rimatomics	NuclearResearchBench	Rimatomics research bench	steel:250	EM_Silicon 12%	high-strength frame; computing / control electronics; radiation shielding	AffectedByFacilities,Breakdownable,Flickable,Power
Dubs Rimatomics	PPCRailgun	Punisher	steel:100	EM_Titanium 45%	high-strength frame	Breakdownable,Flickable,Power,Upgradable
Dubs Rimatomics	PPCWeaponsConsole	SACS	steel:250	EM_Silicon 12%	computing / control electronics	Breakdownable,Flickable,Mannable,Power
Dubs Rimatomics	PlutoniumProcessor	Plutonium Processor	steel:200	EM_Titanium 45%, EM_Lead 15%	high-strength frame; computing / control electronics; radiation shielding	Breakdownable,Facility,Flickable,Power
Dubs Rimatomics	RadarDish	TACS	steel:100	EM_Germanium 10%, EM_Silicon 10%(added)	sensors / optics	Breakdownable,Flickable,Power,Upgradable
Dubs Rimatomics	RadiationShielding	Reinforced DU Wall	steel:5	EM_Titanium 45%, EM_Lead 15%	high-strength frame; radiation shielding	|cat:Rimatomics
