modName	packageId	folder
Alpha Animals	sarg.alphaanimals	AlphaAnimals
Alpha Biomes	sarg.alphabiomes	AlphaBiomes
Centralized Climate Control (Continued)	Mlie.CentralizedClimateControl	CentralizedClimateControlContinued
Combat Extended Armory	CETeam.CombatExtendedArmory	CombatExtendedArmory
Combat Extended Guns	CETeam.CombatExtendedGuns	CombatExtendedGuns
Dubs Bad Hygiene	Dubwise.DubsBadHygiene	DubsBadHygiene
Dubs Rimatomics	Dubwise.Rimatomics	DubsRimatomics
Expanded Prosthetics and Organ Engineering - Forked	vat.epoeforked	ExpandedProstheticsAndOrganEngineeringFo
Hospitality: Vending machines	Adamas.VendingMachines	HospitalityVendingMachines
LWM's Deep Storage	LWM.DeepStorage	LwmSDeepStorage
RimFridge: Now with Shelves!	rimfridge.kv.rw	RimfridgeNowWithShelves
RimThunder - Core	RimThunder.Core	RimthunderCore
Vanilla Brewing Expanded	VanillaExpanded.VBrewE	VanillaBrewingExpanded
Vanilla Brewing Expanded - Coffees and Teas	VanillaExpanded.VBrewECandT	VanillaBrewingExpandedCoffeesAndTeas
Vanilla Chemfuel Expanded	VanillaExpanded.VChemfuelE	VanillaChemfuelExpanded
Vanilla Cooking Expanded	VanillaExpanded.VCookE	VanillaCookingExpanded
Vanilla Cooking Expanded - Haute	VanillaExpanded.VCookEHaute	VanillaCookingExpandedHaute
Vanilla Cooking Expanded - Stews	VanillaExpanded.VCookEStews	VanillaCookingExpandedStews
Vanilla Cooking Expanded - Sushi	VanillaExpanded.VCookESushi	VanillaCookingExpandedSushi
Vanilla Factions Expanded - Settlers	OskarPotocki.VanillaFactionsExpanded.SettlersModule	VanillaFactionsExpandedSettlers
Vanilla Furniture Expanded	VanillaExpanded.VFECore	VanillaFurnitureExpanded
Vanilla Furniture Expanded - Medical Module	VanillaExpanded.VFEMedical	VanillaFurnitureExpandedMedicalModule
Vanilla Furniture Expanded - Production	VanillaExpanded.VFEProduction	VanillaFurnitureExpandedProduction
Vanilla Genetics Expanded	VanillaExpanded.VGeneticsE	VanillaGeneticsExpanded
Vanilla Nutrient Paste Expanded	VanillaExpanded.VNutrientE	VanillaNutrientPasteExpanded
Vanilla Plants Expanded - More Plants	VanillaExpanded.VPlantsEMore	VanillaPlantsExpandedMorePlants
Vanilla Quests Expanded - Drone Factory	vanillaquestsexpanded.dronefactory	VanillaQuestsExpandedDroneFactory
Vanilla Quests Expanded - The Generator	vanillaquestsexpanded.generator	VanillaQuestsExpandedTheGenerator
Warehouse Storage	vin.warehouse.storage	WarehouseStorage
[1.5&Adaptive Storage][JDS] Simple Storage - Refrigeration	JangoDsoul.SimpleStorage.Ref	15AdaptiveStorageJdsSimpleStorageRefrige
